	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.868501	0
1	6597464486	169	0		5	2016-05-01 17:50:08.000000	2016-05-01 17:58:49.119606	0
2	6598535230	228	0		49	2016-05-01 17:59:34.000000	2016-05-01 17:59:33.106059	0
3	3977886858	151	1		76	2016-05-01 18:00:01.000000	2016-05-01 18:00:00.229056	0
4	1954	1	1		131	2016-05-01 18:00:56.000000	2016-05-01 18:00:55.412258	0
5	8051	47	1		135	2016-05-01 18:01:00.000000	2016-05-01 18:00:59.890755	0
6	37532	328	1		140	2016-05-01 18:01:05.000000	2016-05-01 18:01:04.450746	0
7	11128	221	0		420	2016-05-01 18:05:45.000000	2016-05-01 18:05:45.000000	0
8	11128	57	1		421	2016-05-01 18:05:46.000000	2016-05-01 18:05:45.345435	0
9	6598535230	172	1		461	2016-05-01 18:06:26.000000	2016-05-01 18:06:25.214936	0
10	27166	321	1		480	2016-05-01 18:06:45.000000	2016-05-01 18:06:44.487976	0
11	19317	238	0		570	2016-05-01 18:08:15.000000	2016-05-01 18:08:14.031953	0
12	8052	48	1		662	2016-05-01 18:09:47.000000	2016-05-01 18:09:46.378810	0
13	5235625496	338	1		668	2016-05-01 18:09:53.000000	2016-05-01 18:09:52.099164	0
14	26560	239	0		713	2016-05-01 18:10:38.000000	2016-05-01 18:10:37.123763	0
15	3607	8	1		847	2016-05-01 18:12:52.000000	2016-05-01 18:12:51.155241	0
16	26963	339	1		873	2016-05-01 18:13:18.000000	2016-05-01 18:13:17.466612	0
17	42432580	252	0		920	2016-05-01 18:14:05.000000	2016-05-01 18:14:04.073639	0
18	3997454663	352	1		1028	2016-05-01 18:15:53.000000	2016-05-01 18:15:52.495059	0
19	8051	201	0		1076	2016-05-01 18:16:41.000000	2016-05-01 18:16:40.171940	0
20	26559	87	1		1125	2016-05-01 18:17:30.000000	2016-05-01 18:17:29.185755	0
21	25462	301	1		1253	2016-05-01 18:19:38.000000	2016-05-01 18:19:37.053792	0
22	27162	259	0		1323	2016-05-01 18:20:48.000000	2016-05-01 18:20:47.031171	0
23	9485	52	1		1439	2016-05-01 18:22:44.000000	2016-05-01 18:22:43.468697	0
24	6598535188	359	1		1601	2016-05-01 18:25:26.000000	2016-05-01 18:25:25.453219	0
25	42428297	388	0		1621	2016-05-01 18:25:46.000000		0
0	42428297	379	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.093956	1
1	4905	17	0		5	2016-05-01 17:50:08.000000	2016-05-01 17:57:39.577841	1
2	6775	192	0		28	2016-05-01 17:58:03.000000	2016-05-01 17:58:02.007164	1
3	6786	35	1		45	2016-05-01 17:58:20.000000	2016-05-01 17:58:19.518977	1
4	6787	36	1		49	2016-05-01 17:58:24.000000	2016-05-01 17:58:23.956361	1
5	23196	76	1		75	2016-05-01 17:58:50.000000	2016-05-01 17:58:49.734387	1
6	34311	107	1		145	2016-05-01 18:00:00.000000	2016-05-01 17:59:59.986635	1
7	4936	19	1		168	2016-05-01 18:00:23.000000	2016-05-01 18:00:22.762201	1
8	4938	20	1		183	2016-05-01 18:00:38.000000	2016-05-01 18:00:37.133768	1
9	7877	42	1		287	2016-05-01 18:02:22.000000	2016-05-01 18:02:21.002321	1
10	8038	46	1		357	2016-05-01 18:03:32.000000	2016-05-01 18:03:31.465974	1
11	37531	111	1		359	2016-05-01 18:03:34.000000	2016-05-01 18:03:33.090571	1
12	5235625496	292	1		361	2016-05-01 18:03:36.000000	2016-05-01 18:04:53.749206	1
13	4886228959	190	0		406	2016-05-01 18:05:39.000000	2016-05-01 18:05:38.267958	1
14	42430342	117	1		540	2016-05-01 18:07:53.000000	2016-05-01 18:07:52.238384	1
15	42430350	118	1		544	2016-05-01 18:07:57.000000	2016-05-01 18:07:56.685551	1
16	3976008169	149	1		553	2016-05-01 18:08:06.000000	2016-05-01 18:08:05.259450	1
17	27123	97	1		553	2016-05-01 18:08:06.000000	2016-05-01 18:08:05.058998	1
18	3977886868	152	1		553	2016-05-01 18:08:06.000000	2016-05-01 18:08:05.101837	1
19	4544486780	156	1		553	2016-05-01 18:08:06.000000	2016-05-01 18:08:05.145004	1
20	8757	290	1		594	2016-05-01 18:08:47.000000	2016-05-01 18:08:47.000000	1
21	8757	49	0		595	2016-05-01 18:08:48.000000	2016-05-01 18:08:47.741468	1
22	8762	50	0		603	2016-05-01 18:08:56.000000	2016-05-01 18:08:55.937055	1
23	15769	254	0		655	2016-05-01 18:09:48.000000	2016-05-01 18:09:47.365557	1
24	100522739	128	1		711	2016-05-01 18:10:44.000000	2016-05-01 18:10:43.483795	1
25	7788529741	174	1		784	2016-05-01 18:11:57.000000	2016-05-01 18:11:57.000000	1
26	7788529741	354	1		785	2016-05-01 18:11:58.000000	2016-05-01 18:11:57.664685	1
27	8714998591	178	0		921	2016-05-01 18:14:14.000000	2016-05-01 18:14:13.739988	1
28	805765092	245	0		1022	2016-05-01 18:15:55.000000	2016-05-01 18:15:54.239243	1
29	27051	94	1		1024	2016-05-01 18:15:57.000000	2016-05-01 18:15:56.140156	1
30	27031	93	1		1035	2016-05-01 18:16:08.000000	2016-05-01 18:16:07.480555	1
