param_set	cap_vehicles	focus_radius	max_trips	num_vehicles	solver_solution_limit
0	1	1000	10	10	1
1	8	1000	10	10	1
2	1	1000	10	20	1
3	8	1000	10	20	1
4	1	1000	10	40	1
5	8	1000	10	40	1
6	1	1000	10	80	1
7	8	1000	10	80	1
8	1	1000	100	10	1
9	8	1000	100	10	1
10	1	1000	100	20	1
11	8	1000	100	20	1
12	1	1000	100	40	1
13	8	1000	100	40	1
14	1	1000	100	80	1
15	8	1000	100	80	1
16	1	1000	200	10	1
17	8	1000	200	10	1
18	1	1000	200	20	1
19	8	1000	200	20	1
20	1	1000	200	40	1
21	8	1000	200	40	1
22	1	1000	200	80	1
23	8	1000	200	80	1
24	1	1000	400	10	1
25	8	1000	400	10	1
26	1	1000	400	20	1
27	8	1000	400	20	1
28	1	1000	400	40	1
29	8	1000	400	40	1
30	1	1000	400	80	1
31	8	1000	400	80	1
32	1	1000	10	10	10
33	8	1000	10	10	10
34	1	1000	10	20	10
35	8	1000	10	20	10
36	1	1000	10	40	10
37	8	1000	10	40	10
38	1	1000	10	80	10
39	8	1000	10	80	10
40	1	1000	100	10	10
41	8	1000	100	10	10
42	1	1000	100	20	10
43	8	1000	100	20	10
44	1	1000	100	40	10
45	8	1000	100	40	10
46	1	1000	100	80	10
47	8	1000	100	80	10
48	1	1000	200	10	10
49	8	1000	200	10	10
50	1	1000	200	20	10
51	8	1000	200	20	10
52	1	1000	200	40	10
53	8	1000	200	40	10
54	1	1000	200	80	10
55	8	1000	200	80	10
56	1	1000	400	10	10
57	8	1000	400	10	10
58	1	1000	400	20	10
59	8	1000	400	20	10
60	1	1000	400	40	10
61	8	1000	400	40	10
62	1	1000	400	80	10
63	8	1000	400	80	10
64	1	1000	10	10	100
65	8	1000	10	10	100
66	1	1000	10	20	100
67	8	1000	10	20	100
68	1	1000	10	40	100
69	8	1000	10	40	100
70	1	1000	10	80	100
71	8	1000	10	80	100
72	1	1000	100	10	100
73	8	1000	100	10	100
74	1	1000	100	20	100
75	8	1000	100	20	100
76	1	1000	100	40	100
77	8	1000	100	40	100
78	1	1000	100	80	100
79	8	1000	100	80	100
80	1	1000	200	10	100
81	8	1000	200	10	100
82	1	1000	200	20	100
83	8	1000	200	20	100
84	1	1000	200	40	100
85	8	1000	200	40	100
86	1	1000	200	80	100
87	8	1000	200	80	100
88	1	1000	400	10	100
89	8	1000	400	10	100
90	1	1000	400	20	100
91	8	1000	400	20	100
92	1	1000	400	40	100
93	8	1000	400	40	100
94	1	1000	400	80	100
95	8	1000	400	80	100
96	1	1000	10	10	1000
97	8	1000	10	10	1000
98	1	1000	10	20	1000
99	8	1000	10	20	1000
100	1	1000	10	40	1000
101	8	1000	10	40	1000
102	1	1000	10	80	1000
103	8	1000	10	80	1000
104	1	1000	100	10	1000
105	8	1000	100	10	1000
106	1	1000	100	20	1000
107	8	1000	100	20	1000
108	1	1000	100	40	1000
109	8	1000	100	40	1000
110	1	1000	100	80	1000
111	8	1000	100	80	1000
112	1	1000	200	10	1000
113	8	1000	200	10	1000
114	1	1000	200	20	1000
115	8	1000	200	20	1000
116	1	1000	200	40	1000
117	8	1000	200	40	1000
118	1	1000	200	80	1000
119	8	1000	200	80	1000
120	1	1000	400	10	1000
121	8	1000	400	10	1000
122	1	1000	400	20	1000
123	8	1000	400	20	1000
124	1	1000	400	40	1000
125	8	1000	400	40	1000
126	1	1000	400	80	1000
127	8	1000	400	80	1000
128	1	2000	10	10	1
129	8	2000	10	10	1
130	1	2000	10	20	1
131	8	2000	10	20	1
132	1	2000	10	40	1
133	8	2000	10	40	1
134	1	2000	10	80	1
135	8	2000	10	80	1
136	1	2000	100	10	1
137	8	2000	100	10	1
138	1	2000	100	20	1
139	8	2000	100	20	1
140	1	2000	100	40	1
141	8	2000	100	40	1
142	1	2000	100	80	1
143	8	2000	100	80	1
144	1	2000	200	10	1
145	8	2000	200	10	1
146	1	2000	200	20	1
147	8	2000	200	20	1
148	1	2000	200	40	1
149	8	2000	200	40	1
150	1	2000	200	80	1
151	8	2000	200	80	1
152	1	2000	400	10	1
153	8	2000	400	10	1
154	1	2000	400	20	1
155	8	2000	400	20	1
156	1	2000	400	40	1
157	8	2000	400	40	1
158	1	2000	400	80	1
159	8	2000	400	80	1
160	1	2000	10	10	10
161	8	2000	10	10	10
162	1	2000	10	20	10
163	8	2000	10	20	10
164	1	2000	10	40	10
165	8	2000	10	40	10
166	1	2000	10	80	10
167	8	2000	10	80	10
168	1	2000	100	10	10
169	8	2000	100	10	10
170	1	2000	100	20	10
171	8	2000	100	20	10
172	1	2000	100	40	10
173	8	2000	100	40	10
174	1	2000	100	80	10
175	8	2000	100	80	10
176	1	2000	200	10	10
177	8	2000	200	10	10
178	1	2000	200	20	10
179	8	2000	200	20	10
180	1	2000	200	40	10
181	8	2000	200	40	10
182	1	2000	200	80	10
183	8	2000	200	80	10
184	1	2000	400	10	10
185	8	2000	400	10	10
186	1	2000	400	20	10
187	8	2000	400	20	10
188	1	2000	400	40	10
189	8	2000	400	40	10
190	1	2000	400	80	10
191	8	2000	400	80	10
192	1	2000	10	10	100
193	8	2000	10	10	100
194	1	2000	10	20	100
195	8	2000	10	20	100
196	1	2000	10	40	100
197	8	2000	10	40	100
198	1	2000	10	80	100
199	8	2000	10	80	100
200	1	2000	100	10	100
201	8	2000	100	10	100
202	1	2000	100	20	100
203	8	2000	100	20	100
204	1	2000	100	40	100
