	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	600.0	0	2016-05-01 18:09:08.000000	2016-05-01 18:19:07.881400	0
1	3857343079	615	0		135	2016-05-01 18:21:23.000000	2016-05-01 18:21:22.750944	0
2	8375523266	923	1		164	2016-05-01 18:21:52.000000	2016-05-01 18:27:42.088654	0
3	11117	667	0		256	2016-05-01 18:29:15.000000	2016-05-01 18:29:14.111732	0
4	30248	975	1		340	2016-05-01 18:30:39.000000	2016-05-01 18:30:38.701737	0
5	3477	678	0		348	2016-05-01 18:30:47.000000	2016-05-01 18:30:46.185734	0
6	26550	986	1		533	2016-05-01 18:33:52.000000	2016-05-01 18:33:51.503248	0
7	3944708048	680	0		606	2016-05-01 18:35:05.000000	2016-05-01 18:35:04.386882	0
8	6742	988	1		791	2016-05-01 18:38:10.000000	2016-05-01 18:38:09.003116	0
9	29706	713	0		931	2016-05-01 18:40:30.000000	2016-05-01 18:40:29.701105	0
10	11124	1021	1		1070	2016-05-01 18:42:49.000000	2016-05-01 18:42:48.164891	0
11	27315	720	0		1146	2016-05-01 18:44:05.000000	2016-05-01 18:44:04.260961	0
12	35120	1028	1		1452	2016-05-01 18:49:11.000000	2016-05-01 18:49:10.198435	0
13	26977	761	0		1609	2016-05-01 18:51:48.000000	2016-05-01 18:51:47.353149	0
14	33494	1069	1		1863	2016-05-01 18:56:02.000000	2016-05-01 18:56:01.545162	0
15	42428297	1122	0		2023	2016-05-01 18:58:42.000000		0
0	42428297	1103	0	471.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:57:53.103981	1
1	11117	493	0		66	2016-05-01 17:59:00.000000	2016-05-01 17:58:59.865619	1
2	37533	801	1		163	2016-05-01 18:00:37.000000	2016-05-01 18:04:52.925489	1
3	4886228959	525	0		209	2016-05-01 18:05:39.000000	2016-05-01 18:12:52.757181	1
4	8757	833	1		402	2016-05-01 18:16:06.000000	2016-05-01 18:26:05.014280	1
5	20635	648	0		426	2016-05-01 18:26:30.000000	2016-05-01 18:33:05.673451	1
6	21054	956	1		642	2016-05-01 18:36:42.000000	2016-05-01 18:46:41.256260	1
7	3578	770	0		681	2016-05-01 18:47:21.000000	2016-05-01 18:47:20.226345	1
8	8704367788	1078	1		907	2016-05-01 18:51:07.000000	2016-05-01 18:51:06.528925	1
9	42428297	1123	0		1330	2016-05-01 18:58:10.000000		1
0	42428297	1104	0	495.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:17.200648	2
1	42430350	496	0		59	2016-05-01 17:59:17.000000	2016-05-01 17:59:16.527019	2
2	4851	804	1		256	2016-05-01 18:02:34.000000	2016-05-01 18:06:38.000000	2
3	4851	531	0		258	2016-05-01 18:06:40.000000	2016-05-01 18:06:39.820590	2
4	18389	839	1		533	2016-05-01 18:11:15.000000	2016-05-01 18:20:15.054018	2
5	7883	609	0		553	2016-05-01 18:20:36.000000	2016-05-01 18:20:35.761741	2
6	4936	917	1		694	2016-05-01 18:22:57.000000	2016-05-01 18:28:50.010932	2
7	42445011	674	0		768	2016-05-01 18:30:05.000000	2016-05-01 18:30:04.564139	2
8	3977886875	982	1		977	2016-05-01 18:33:34.000000	2016-05-01 18:35:39.818822	2
9	30062	708	0		980	2016-05-01 18:35:43.000000	2016-05-01 18:35:42.824370	2
10	34344	1016	1		1372	2016-05-01 18:42:15.000000	2016-05-01 18:42:14.834585	2
11	42430320	723	0		1435	2016-05-01 18:43:18.000000	2016-05-01 18:43:17.064937	2
12	6598535175	1031	1		1546	2016-05-01 18:45:09.000000	2016-05-01 18:45:08.183729	2
13	21063	750	0		1643	2016-05-01 18:46:46.000000	2016-05-01 18:46:45.000498	2
14	9498	1058	1		1894	2016-05-01 18:50:57.000000	2016-05-01 18:50:56.127918	2
15	4207938835	777	0		2051	2016-05-01 18:53:34.000000	2016-05-01 18:53:33.925052	2
16	12408	1085	1		2243	2016-05-01 18:56:46.000000	2016-05-01 18:56:45.192799	2
17	42428297	1124	0		2485	2016-05-01 19:00:48.000000		2
0	42428297	1105	0	600.0	0	2016-05-01 18:17:12.000000	2016-05-01 18:27:11.940497	3
1	3944708054	657	0		58	2016-05-01 18:28:10.000000	2016-05-01 18:28:09.974240	3
2	41770	965	1		130	2016-05-01 18:29:22.000000	2016-05-01 18:29:21.411136	3
3	25267	637	0		204	2016-05-01 18:30:36.000000	2016-05-01 18:30:35.516271	3
4	7872	945	1		444	2016-05-01 18:34:36.000000	2016-05-01 18:34:35.187785	3
