param_set	cap_vehicles	focus_radius	max_trips	num_vehicles	solver_solution_limit
0	1	1000	10	10	10000
1	8	1000	10	10	10000
2	1	1000	10	20	10000
3	8	1000	10	20	10000
4	1	1000	10	40	10000
5	8	1000	10	40	10000
6	1	1000	10	80	10000
7	8	1000	10	80	10000
8	1	1000	100	10	10000
9	8	1000	100	10	10000
10	1	1000	100	20	10000
11	8	1000	100	20	10000
12	1	1000	100	40	10000
13	8	1000	100	40	10000
14	1	1000	100	80	10000
15	8	1000	100	80	10000
16	1	1000	200	10	10000
17	8	1000	200	10	10000
18	1	1000	200	20	10000
19	8	1000	200	20	10000
20	1	1000	200	40	10000
21	8	1000	200	40	10000
22	1	1000	200	80	10000
23	8	1000	200	80	10000
24	1	1000	400	10	10000
25	8	1000	400	10	10000
26	1	1000	400	20	10000
27	8	1000	400	20	10000
28	1	1000	400	40	10000
29	8	1000	400	40	10000
30	1	1000	400	80	10000
31	8	1000	400	80	10000
32	1	1000	10	10	1
33	8	1000	10	10	1
34	1	1000	10	20	1
35	8	1000	10	20	1
36	1	1000	10	40	1
37	8	1000	10	40	1
38	1	1000	10	80	1
39	8	1000	10	80	1
40	1	1000	100	10	1
41	8	1000	100	10	1
42	1	1000	100	20	1
43	8	1000	100	20	1
44	1	1000	100	40	1
45	8	1000	100	40	1
46	1	1000	100	80	1
47	8	1000	100	80	1
48	1	1000	200	10	1
49	8	1000	200	10	1
50	1	1000	200	20	1
51	8	1000	200	20	1
52	1	1000	200	40	1
53	8	1000	200	40	1
54	1	1000	200	80	1
55	8	1000	200	80	1
56	1	1000	400	10	1
57	8	1000	400	10	1
58	1	1000	400	20	1
59	8	1000	400	20	1
60	1	1000	400	40	1
61	8	1000	400	40	1
62	1	1000	400	80	1
63	8	1000	400	80	1
64	1	1000	10	10	10
65	8	1000	10	10	10
66	1	1000	10	20	10
67	8	1000	10	20	10
68	1	1000	10	40	10
69	8	1000	10	40	10
70	1	1000	10	80	10
71	8	1000	10	80	10
72	1	1000	100	10	10
73	8	1000	100	10	10
74	1	1000	100	20	10
75	8	1000	100	20	10
76	1	1000	100	40	10
77	8	1000	100	40	10
78	1	1000	100	80	10
79	8	1000	100	80	10
80	1	1000	200	10	10
81	8	1000	200	10	10
82	1	1000	200	20	10
83	8	1000	200	20	10
84	1	1000	200	40	10
85	8	1000	200	40	10
86	1	1000	200	80	10
87	8	1000	200	80	10
88	1	1000	400	10	10
89	8	1000	400	10	10
90	1	1000	400	20	10
91	8	1000	400	20	10
92	1	1000	400	40	10
93	8	1000	400	40	10
94	1	1000	400	80	10
95	8	1000	400	80	10
96	1	1000	10	10	100
97	8	1000	10	10	100
98	1	1000	10	20	100
99	8	1000	10	20	100
100	1	1000	10	40	100
101	8	1000	10	40	100
102	1	1000	10	80	100
103	8	1000	10	80	100
104	1	1000	100	10	100
105	8	1000	100	10	100
106	1	1000	100	20	100
107	8	1000	100	20	100
108	1	1000	100	40	100
109	8	1000	100	40	100
110	1	1000	100	80	100
111	8	1000	100	80	100
112	1	1000	200	10	100
113	8	1000	200	10	100
114	1	1000	200	20	100
115	8	1000	200	20	100
116	1	1000	200	40	100
117	8	1000	200	40	100
118	1	1000	200	80	100
119	8	1000	200	80	100
120	1	1000	400	10	100
121	8	1000	400	10	100
122	1	1000	400	20	100
123	8	1000	400	20	100
124	1	1000	400	40	100
125	8	1000	400	40	100
126	1	1000	400	80	100
127	8	1000	400	80	100
128	1	1000	10	10	1000
129	8	1000	10	10	1000
130	1	1000	10	20	1000
131	8	1000	10	20	1000
132	1	1000	10	40	1000
133	8	1000	10	40	1000
134	1	1000	10	80	1000
135	8	1000	10	80	1000
136	1	1000	100	10	1000
137	8	1000	100	10	1000
138	1	1000	100	20	1000
139	8	1000	100	20	1000
140	1	1000	100	40	1000
141	8	1000	100	40	1000
142	1	1000	100	80	1000
143	8	1000	100	80	1000
144	1	1000	200	10	1000
145	8	1000	200	10	1000
146	1	1000	200	20	1000
147	8	1000	200	20	1000
148	1	1000	200	40	1000
149	8	1000	200	40	1000
150	1	1000	200	80	1000
151	8	1000	200	80	1000
152	1	1000	400	10	1000
153	8	1000	400	10	1000
154	1	1000	400	20	1000
155	8	1000	400	20	1000
156	1	1000	400	40	1000
157	8	1000	400	40	1000
158	1	1000	400	80	1000
159	8	1000	400	80	1000
160	1	2000	10	10	10000
161	8	2000	10	10	10000
162	1	2000	10	20	10000
163	8	2000	10	20	10000
164	1	2000	10	40	10000
165	8	2000	10	40	10000
166	1	2000	10	80	10000
167	8	2000	10	80	10000
168	1	2000	100	10	10000
169	8	2000	100	10	10000
170	1	2000	100	20	10000
171	8	2000	100	20	10000
172	1	2000	100	40	10000
173	8	2000	100	40	10000
174	1	2000	100	80	10000
175	8	2000	100	80	10000
176	1	2000	200	10	10000
177	8	2000	200	10	10000
178	1	2000	200	20	10000
179	8	2000	200	20	10000
180	1	2000	200	40	10000
181	8	2000	200	40	10000
182	1	2000	200	80	10000
183	8	2000	200	80	10000
184	1	2000	400	10	10000
185	8	2000	400	10	10000
186	1	2000	400	20	10000
187	8	2000	400	20	10000
188	1	2000	400	40	10000
189	8	2000	400	40	10000
190	1	2000	400	80	10000
191	8	2000	400	80	10000
192	1	2000	10	10	1
193	8	2000	10	10	1
194	1	2000	10	20	1
195	8	2000	10	20	1
196	1	2000	10	40	1
197	8	2000	10	40	1
198	1	2000	10	80	1
199	8	2000	10	80	1
200	1	2000	100	10	1
201	8	2000	100	10	1
202	1	2000	100	20	1
203	8	2000	100	20	1
204	1	2000	100	40	1
205	8	2000	100	40	1
206	1	2000	100	80	1
207	8	2000	100	80	1
208	1	2000	200	10	1
209	8	2000	200	10	1
210	1	2000	200	20	1
211	8	2000	200	20	1
212	1	2000	200	40	1
213	8	2000	200	40	1
214	1	2000	200	80	1
215	8	2000	200	80	1
216	1	2000	400	10	1
217	8	2000	400	10	1
218	1	2000	400	20	1
219	8	2000	400	20	1
220	1	2000	400	40	1
221	8	2000	400	40	1
222	1	2000	400	80	1
223	8	2000	400	80	1
224	1	2000	10	10	10
225	8	2000	10	10	10
226	1	2000	10	20	10
227	8	2000	10	20	10
228	1	2000	10	40	10
229	8	2000	10	40	10
230	1	2000	10	80	10
231	8	2000	10	80	10
232	1	2000	100	10	10
233	8	2000	100	10	10
234	1	2000	100	20	10
235	8	2000	100	20	10
236	1	2000	100	40	10
237	8	2000	100	40	10
238	1	2000	100	80	10
239	8	2000	100	80	10
240	1	2000	200	10	10
241	8	2000	200	10	10
242	1	2000	200	20	10
243	8	2000	200	20	10
244	1	2000	200	40	10
245	8	2000	200	40	10
246	1	2000	200	80	10
247	8	2000	200	80	10
248	1	2000	400	10	10
249	8	2000	400	10	10
250	1	2000	400	20	10
251	8	2000	400	20	10
252	1	2000	400	40	10
253	8	2000	400	40	10
254	1	2000	400	80	10
255	8	2000	400	80	10
256	1	2000	10	10	100
257	8	2000	10	10	100
258	1	2000	10	20	100
259	8	2000	10	20	100
260	1	2000	10	40	100
261	8	2000	10	40	100
262	1	2000	10	80	100
263	8	2000	10	80	100
264	1	2000	100	10	100
265	8	2000	100	10	100
266	1	2000	100	20	100
267	8	2000	100	20	100
268	1	2000	100	40	100
269	8	2000	100	40	100
270	1	2000	100	80	100
271	8	2000	100	80	100
272	1	2000	200	10	100
273	8	2000	200	10	100
274	1	2000	200	20	100
275	8	2000	200	20	100
276	1	2000	200	40	100
277	8	2000	200	40	100
278	1	2000	200	80	100
279	8	2000	200	80	100
280	1	2000	400	10	100
281	8	2000	400	10	100
282	1	2000	400	20	100
283	8	2000	400	20	100
284	1	2000	400	40	100
285	8	2000	400	40	100
286	1	2000	400	80	100
287	8	2000	400	80	100
288	1	2000	10	10	1000
289	8	2000	10	10	1000
290	1	2000	10	20	1000
291	8	2000	10	20	1000
292	1	2000	10	40	1000
293	8	2000	10	40	1000
294	1	2000	10	80	1000
295	8	2000	10	80	1000
296	1	2000	100	10	1000
297	8	2000	100	10	1000
298	1	2000	100	20	1000
299	8	2000	100	20	1000
300	1	2000	100	40	1000
301	8	2000	100	40	1000
302	1	2000	100	80	1000
303	8	2000	100	80	1000
304	1	2000	200	10	1000
305	8	2000	200	10	1000
306	1	2000	200	20	1000
307	8	2000	200	20	1000
308	1	2000	200	40	1000
309	8	2000	200	40	1000
310	1	2000	200	80	1000
311	8	2000	200	80	1000
312	1	2000	400	10	1000
313	8	2000	400	10	1000
314	1	2000	400	20	1000
315	8	2000	400	20	1000
316	1	2000	400	40	1000
317	8	2000	400	40	1000
318	1	2000	400	80	1000
319	8	2000	400	80	1000
