	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	548.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:59:10.678961	0
1	6786	499	0		46	2016-05-01 17:59:57.000000	2016-05-01 18:07:14.735319	0
2	42443807	807	1		275	2016-05-01 18:11:04.000000	2016-05-01 18:21:03.031484	0
3	12132	612	0		279	2016-05-01 18:21:08.000000	2016-05-01 18:24:53.269011	0
4	27162	920	1		499	2016-05-01 18:28:34.000000	2016-05-01 18:38:33.340911	0
5	3971302310	722	0		504	2016-05-01 18:38:39.000000	2016-05-01 18:38:38.897447	0
6	3974095818	1030	1		787	2016-05-01 18:43:22.000000	2016-05-01 18:43:21.139845	0
7	3490	721	0		812	2016-05-01 18:43:47.000000	2016-05-01 18:43:46.028538	0
8	23196	1029	1		1027	2016-05-01 18:47:22.000000	2016-05-01 18:47:21.334994	0
9	23213	734	0		1036	2016-05-01 18:47:31.000000	2016-05-01 18:47:30.265584	0
10	8288270452	1042	1		1341	2016-05-01 18:52:36.000000	2016-05-01 18:52:35.413251	0
11	11131	781	0		1580	2016-05-01 18:56:35.000000	2016-05-01 18:56:34.380437	0
12	27008	1089	1		2003	2016-05-01 19:03:38.000000	2016-05-01 19:03:37.658756	0
13	42428297	1112	0		2241	2016-05-01 19:07:36.000000		0
0	42428297	1103	0	600.0	0	2016-05-01 18:03:18.000000	2016-05-01 18:13:17.385840	1
1	3573482142	576	0		34	2016-05-01 18:13:52.000000	2016-05-01 18:21:56.432842	1
2	22838	884	1		87	2016-05-01 18:22:50.000000	2016-05-01 18:32:49.563777	1
3	27022	693	0		95	2016-05-01 18:32:58.000000	2016-05-01 18:32:57.271212	1
4	37531	1001	1		192	2016-05-01 18:34:35.000000	2016-05-01 18:34:34.522084	1
5	26559	690	0		239	2016-05-01 18:35:22.000000	2016-05-01 18:35:21.915886	1
6	4908	998	1		400	2016-05-01 18:38:03.000000	2016-05-01 18:38:02.765388	1
7	32921	715	0		439	2016-05-01 18:38:42.000000	2016-05-01 18:38:41.236134	1
8	6167628293	1023	1		809	2016-05-01 18:44:52.000000	2016-05-01 18:44:51.397261	1
9	3974095817	757	0		815	2016-05-01 18:44:58.000000	2016-05-01 18:44:57.190648	1
10	5235625496	1065	1		851	2016-05-01 18:45:34.000000	2016-05-01 18:50:23.766816	1
11	4886239171	785	0		897	2016-05-01 18:51:10.000000	2016-05-01 18:51:09.270006	1
12	33110	1093	1		1143	2016-05-01 18:55:16.000000	2016-05-01 18:55:15.619102	1
13	1752946328	789	0		1239	2016-05-01 18:56:52.000000	2016-05-01 18:56:51.308378	1
14	5235625496	1097	1		1474	2016-05-01 19:00:47.000000	2016-05-01 19:00:46.045325	1
15	42428297	1113	0		1669	2016-05-01 19:04:02.000000		1
0	42428297	1104	0	600.0	0	2016-05-01 17:50:26.000000	2016-05-01 18:00:25.760830	2
1	4828	503	0		34	2016-05-01 18:01:00.000000	2016-05-01 18:08:28.605530	2
2	11148	811	1		436	2016-05-01 18:15:11.000000	2016-05-01 18:25:10.846042	2
3	4945	659	0		626	2016-05-01 18:28:21.000000	2016-05-01 18:28:20.606553	2
4	27317	967	1		1125	2016-05-01 18:36:40.000000	2016-05-01 18:36:39.786401	2
5	3955360018	705	0		1214	2016-05-01 18:38:09.000000	2016-05-01 18:38:08.702151	2
6	8396878500	1013	1		1404	2016-05-01 18:41:19.000000	2016-05-01 18:42:52.423520	2
7	4915	753	0		1496	2016-05-01 18:44:25.000000	2016-05-01 18:44:24.458920	2
8	26991	1061	1		1571	2016-05-01 18:45:40.000000	2016-05-01 18:45:39.633872	2
9	3942050701	742	0		1573	2016-05-01 18:45:42.000000	2016-05-01 18:45:41.895949	2
10	26536	1050	1		1786	2016-05-01 18:49:15.000000	2016-05-01 18:51:27.539355	2
11	21052	790	0		1848	2016-05-01 18:52:30.000000	2016-05-01 18:52:29.401078	2
12	11275	1098	1		1899	2016-05-01 18:53:21.000000	2016-05-01 18:53:20.779843	2
13	30251	793	0		1998	2016-05-01 18:55:00.000000	2016-05-01 18:54:59.163814	2
14	3535	1101	1		2107	2016-05-01 18:56:49.000000	2016-05-01 18:56:48.034743	2
15	4886239171	784	0		2187	2016-05-01 18:58:09.000000	2016-05-01 18:58:08.270006	2
16	33110	1092	1		2433	2016-05-01 19:02:15.000000	2016-05-01 19:02:14.723604	2
17	42428297	1114	0		2528	2016-05-01 19:03:50.000000		2
0	42428297	1105	0	600.0	0	2016-05-01 18:04:16.000000	2016-05-01 18:14:15.618998	3
1	27146	585	0		30	2016-05-01 18:14:46.000000	2016-05-01 18:19:28.014580	3
2	19318	893	1		145	2016-05-01 18:21:24.000000	2016-05-01 18:31:24.000000	3
3	19318	685	0		147	2016-05-01 18:31:26.000000	2016-05-01 18:31:25.165890	3
4	31296	993	1		246	2016-05-01 18:33:05.000000	2016-05-01 18:33:04.143022	3
5	4886228960	658	0		289	2016-05-01 18:33:48.000000	2016-05-01 18:41:02.722089	3
6	42435660	966	1		366	2016-05-01 18:42:20.000000	2016-05-01 18:52:20.000000	3
7	42435660	788	0		368	2016-05-01 18:52:22.000000	2016-05-01 18:52:21.400091	3
8	24878	1096	1		509	2016-05-01 18:54:43.000000	2016-05-01 18:54:42.766420	3
9	27154	783	0		616	2016-05-01 18:56:30.000000	2016-05-01 18:56:29.127947	3
10	34311	1091	1		868	2016-05-01 19:00:42.000000	2016-05-01 19:00:41.089338	3
11	42428297	1115	0		1053	2016-05-01 19:03:47.000000		3
0	42428297	1106	0	451.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:57:33.671797	4
1	6775	487	0		29	2016-05-01 17:58:03.000000	2016-05-01 17:58:02.114807	4
2	5235625496	795	1		303	2016-05-01 18:02:37.000000	2016-05-01 18:04:15.890206	4
3	1954	521	0		347	2016-05-01 18:05:00.000000	2016-05-01 18:04:59.760270	4
4	27261	829	1		479	2016-05-01 18:07:12.000000	2016-05-01 18:12:08.627692	4
5	3977886858	568	0		481	2016-05-01 18:12:11.000000	2016-05-01 18:12:38.081747	4
6	35123	876	1		748	2016-05-01 18:17:06.000000	2016-05-01 18:27:06.000000	4
7	35123	652	0		750	2016-05-01 18:27:08.000000	2016-05-01 18:27:07.134486	4
8	27268	960	1		890	2016-05-01 18:29:28.000000	2016-05-01 18:30:27.936136	4
9	6791	681	0		914	2016-05-01 18:30:52.000000	2016-05-01 18:30:51.918226	4
10	13829	989	1		1179	2016-05-01 18:35:17.000000	2016-05-01 18:39:24.847084	4
11	42452365	731	0		1223	2016-05-01 18:40:09.000000	2016-05-01 18:40:08.639016	4
12	6727	1039	1		1607	2016-05-01 18:46:33.000000	2016-05-01 18:47:12.421171	4
13	1986	771	0		1626	2016-05-01 18:47:32.000000	2016-05-01 18:47:31.191424	4
14	7782217024	1079	1		1698	2016-05-01 18:48:44.000000	2016-05-01 18:48:43.732214	4
15	6224278787	748	0		1746	2016-05-01 18:49:32.000000	2016-05-01 18:49:31.800886	4
16	6796	1056	1		2043	2016-05-01 18:54:29.000000	2016-05-01 18:54:28.756266	4
17	3463813444	786	0		2210	2016-05-01 18:57:16.000000	2016-05-01 18:57:15.374516	4
18	3463813443	1094	1		2225	2016-05-01 18:57:31.000000	2016-05-01 18:57:30.358375	4
19	3541	794	0		2512	2016-05-01 19:02:18.000000	2016-05-01 19:02:17.031775	4
20	27120	1102	1		2527	2016-05-01 19:02:33.000000	2016-05-01 19:02:32.987079	4
21	42428297	1116	0		2795	2016-05-01 19:07:01.000000		4
0	42428297	1107	0	600.0	0	2016-05-01 18:13:20.000000	2016-05-01 18:23:19.571020	5
1	6210777836	623	0		28	2016-05-01 18:23:48.000000	2016-05-01 18:23:47.558937	5
2	25234	931	1		262	2016-05-01 18:27:42.000000	2016-05-01 18:27:41.112367	5
3	9876	634	0		282	2016-05-01 18:28:02.000000	2016-05-01 18:28:01.031947	5
4	5522182776	942	1		570	2016-05-01 18:32:50.000000	2016-05-01 18:35:07.086118	5
5	23204	704	0		583	2016-05-01 18:35:21.000000	2016-05-01 18:35:20.093095	5
6	3464	1012	1		696	2016-05-01 18:37:14.000000	2016-05-01 18:37:13.244674	5
7	30251	717	0		762	2016-05-01 18:38:20.000000	2016-05-01 18:38:19.976207	5
8	31296	1025	1		832	2016-05-01 18:39:30.000000	2016-05-01 18:39:29.999128	5
9	26559	709	0		877	2016-05-01 18:40:15.000000	2016-05-01 18:40:14.908819	5
10	8704367789	1017	1		1155	2016-05-01 18:44:53.000000	2016-05-01 18:44:52.964141	5
11	30027	768	0		1527	2016-05-01 18:51:05.000000	2016-05-01 18:51:04.811656	5
12	7095733937	1076	1		2094	2016-05-01 19:00:32.000000	2016-05-01 19:00:31.717426	5
13	42428297	1117	0		2182	2016-05-01 19:02:00.000000		5
0	42428297	1108	0	600.0	0	2016-05-01 17:57:02.000000	2016-05-01 18:07:01.937150	6
1	6776	539	0		27	2016-05-01 18:07:29.000000	2016-05-01 18:15:40.153484	6
2	4631139783	847	1		272	2016-05-01 18:19:46.000000	2016-05-01 18:29:45.699519	6
3	6702	684	0		365	2016-05-01 18:31:19.000000	2016-05-01 18:31:18.952051	6
4	5849918503	992	1		549	2016-05-01 18:34:23.000000	2016-05-01 18:38:20.744520	6
5	30059	719	0		559	2016-05-01 18:38:31.000000	2016-05-01 18:38:30.241693	6
6	20630	1027	1		852	2016-05-01 18:43:24.000000	2016-05-01 18:43:23.300390	6
7	14544	736	0		856	2016-05-01 18:43:28.000000	2016-05-01 18:43:27.298041	6
8	18388	1044	1		1035	2016-05-01 18:46:27.000000	2016-05-01 18:46:26.772490	6
9	8288270384	764	0		1069	2016-05-01 18:47:01.000000	2016-05-01 18:47:00.442119	6
