param_set	cap_vehicles	focus_radius	max_trips	num_vehicles	solver_solution_limit	num_trips
0	1	1000	10	10	10000	10
1	8	1000	10	10	10000	10
2	1	1000	10	20	10000	10
3	8	1000	10	20	10000	10
4	1	1000	10	40	10000	10
5	8	1000	10	40	10000	10
6	1	1000	10	80	10000	10
7	8	1000	10	80	10000	10
8	1	1000	100	10	10000	100
9	8	1000	100	10	10000	100
10	1	1000	100	20	10000	100
11	8	1000	100	20	10000	100
12	1	1000	100	40	10000	100
13	8	1000	100	40	10000	100
14	1	1000	100	80	10000	100
15	8	1000	100	80	10000	100
16	1	1000	200	10	10000	200
17	8	1000	200	10	10000	200
18	1	1000	200	20	10000	200
19	8	1000	200	20	10000	200
20	1	1000	200	40	10000	200
21	8	1000	200	40	10000	200
22	1	1000	200	80	10000	200
23	8	1000	200	80	10000	200
24	1	1000	400	10	10000	308
25	8	1000	400	10	10000	308
26	1	1000	400	20	10000	308
27	8	1000	400	20	10000	308
28	1	1000	400	40	10000	308
29	8	1000	400	40	10000	308
30	1	1000	400	80	10000	308
31	8	1000	400	80	10000	308
32	1	1000	10	10	1	10
33	8	1000	10	10	1	10
34	1	1000	10	20	1	10
35	8	1000	10	20	1	10
36	1	1000	10	40	1	10
37	8	1000	10	40	1	10
38	1	1000	10	80	1	10
39	8	1000	10	80	1	10
40	1	1000	100	10	1	100
41	8	1000	100	10	1	100
42	1	1000	100	20	1	100
43	8	1000	100	20	1	100
44	1	1000	100	40	1	100
45	8	1000	100	40	1	100
46	1	1000	100	80	1	100
47	8	1000	100	80	1	100
48	1	1000	200	10	1	200
49	8	1000	200	10	1	200
50	1	1000	200	20	1	200
51	8	1000	200	20	1	200
52	1	1000	200	40	1	200
53	8	1000	200	40	1	200
54	1	1000	200	80	1	200
55	8	1000	200	80	1	200
56	1	1000	400	10	1	308
57	8	1000	400	10	1	308
58	1	1000	400	20	1	308
59	8	1000	400	20	1	308
60	1	1000	400	40	1	308
61	8	1000	400	40	1	308
62	1	1000	400	80	1	308
63	8	1000	400	80	1	308
64	1	1000	10	10	10	10
65	8	1000	10	10	10	10
66	1	1000	10	20	10	10
67	8	1000	10	20	10	10
68	1	1000	10	40	10	10
69	8	1000	10	40	10	10
70	1	1000	10	80	10	10
71	8	1000	10	80	10	10
72	1	1000	100	10	10	100
73	8	1000	100	10	10	100
74	1	1000	100	20	10	100
75	8	1000	100	20	10	100
76	1	1000	100	40	10	100
77	8	1000	100	40	10	100
78	1	1000	100	80	10	100
79	8	1000	100	80	10	100
80	1	1000	200	10	10	200
81	8	1000	200	10	10	200
82	1	1000	200	20	10	200
83	8	1000	200	20	10	200
84	1	1000	200	40	10	200
85	8	1000	200	40	10	200
86	1	1000	200	80	10	200
87	8	1000	200	80	10	200
88	1	1000	400	10	10	308
89	8	1000	400	10	10	308
90	1	1000	400	20	10	308
91	8	1000	400	20	10	308
92	1	1000	400	40	10	308
93	8	1000	400	40	10	308
94	1	1000	400	80	10	308
95	8	1000	400	80	10	308
96	1	1000	10	10	100	10
97	8	1000	10	10	100	10
98	1	1000	10	20	100	10
99	8	1000	10	20	100	10
100	1	1000	10	40	100	10
101	8	1000	10	40	100	10
102	1	1000	10	80	100	10
103	8	1000	10	80	100	10
104	1	1000	100	10	100	100
105	8	1000	100	10	100	100
106	1	1000	100	20	100	100
107	8	1000	100	20	100	100
108	1	1000	100	40	100	100
109	8	1000	100	40	100	100
110	1	1000	100	80	100	100
111	8	1000	100	80	100	100
112	1	1000	200	10	100	200
113	8	1000	200	10	100	200
114	1	1000	200	20	100	200
115	8	1000	200	20	100	200
116	1	1000	200	40	100	200
117	8	1000	200	40	100	200
118	1	1000	200	80	100	200
119	8	1000	200	80	100	200
120	1	1000	400	10	100	308
121	8	1000	400	10	100	308
122	1	1000	400	20	100	308
123	8	1000	400	20	100	308
124	1	1000	400	40	100	308
125	8	1000	400	40	100	308
126	1	1000	400	80	100	308
127	8	1000	400	80	100	308
128	1	1000	10	10	1000	10
129	8	1000	10	10	1000	10
130	1	1000	10	20	1000	10
131	8	1000	10	20	1000	10
132	1	1000	10	40	1000	10
133	8	1000	10	40	1000	10
134	1	1000	10	80	1000	10
135	8	1000	10	80	1000	10
136	1	1000	100	10	1000	100
137	8	1000	100	10	1000	100
138	1	1000	100	20	1000	100
139	8	1000	100	20	1000	100
140	1	1000	100	40	1000	100
141	8	1000	100	40	1000	100
142	1	1000	100	80	1000	100
143	8	1000	100	80	1000	100
144	1	1000	200	10	1000	200
145	8	1000	200	10	1000	200
146	1	1000	200	20	1000	200
147	8	1000	200	20	1000	200
148	1	1000	200	40	1000	200
149	8	1000	200	40	1000	200
150	1	1000	200	80	1000	200
151	8	1000	200	80	1000	200
152	1	1000	400	10	1000	308
153	8	1000	400	10	1000	308
154	1	1000	400	20	1000	308
155	8	1000	400	20	1000	308
156	1	1000	400	40	1000	308
157	8	1000	400	40	1000	308
158	1	1000	400	80	1000	308
159	8	1000	400	80	1000	308
160	1	2000	10	10	10000	10
161	8	2000	10	10	10000	10
162	1	2000	10	20	10000	10
163	8	2000	10	20	10000	10
164	1	2000	10	40	10000	10
165	8	2000	10	40	10000	10
166	1	2000	10	80	10000	10
167	8	2000	10	80	10000	10
168	1	2000	100	10	10000	100
169	8	2000	100	10	10000	100
170	1	2000	100	20	10000	100
171	8	2000	100	20	10000	100
172	1	2000	100	40	10000	100
173	8	2000	100	40	10000	100
174	1	2000	100	80	10000	100
175	8	2000	100	80	10000	100
176	1	2000	200	10	10000	200
177	8	2000	200	10	10000	200
178	1	2000	200	20	10000	200
179	8	2000	200	20	10000	200
180	1	2000	200	40	10000	200
181	8	2000	200	40	10000	200
182	1	2000	200	80	10000	200
183	8	2000	200	80	10000	200
184	1	2000	400	10	10000	400
185	8	2000	400	10	10000	400
186	1	2000	400	20	10000	400
187	8	2000	400	20	10000	400
188	1	2000	400	40	10000	400
189	8	2000	400	40	10000	400
190	1	2000	400	80	10000	400
191	8	2000	400	80	10000	400
192	1	2000	10	10	1	10
193	8	2000	10	10	1	10
194	1	2000	10	20	1	10
195	8	2000	10	20	1	10
196	1	2000	10	40	1	10
197	8	2000	10	40	1	10
198	1	2000	10	80	1	10
199	8	2000	10	80	1	10
200	1	2000	100	10	1	100
201	8	2000	100	10	1	100
202	1	2000	100	20	1	100
203	8	2000	100	20	1	100
204	1	2000	100	40	1	100
205	8	2000	100	40	1	100
206	1	2000	100	80	1	100
207	8	2000	100	80	1	100
208	1	2000	200	10	1	200
209	8	2000	200	10	1	200
210	1	2000	200	20	1	200
211	8	2000	200	20	1	200
212	1	2000	200	40	1	200
213	8	2000	200	40	1	200
214	1	2000	200	80	1	200
215	8	2000	200	80	1	200
216	1	2000	400	10	1	400
217	8	2000	400	10	1	400
218	1	2000	400	20	1	400
219	8	2000	400	20	1	400
220	1	2000	400	40	1	400
221	8	2000	400	40	1	400
222	1	2000	400	80	1	400
223	8	2000	400	80	1	400
224	1	2000	10	10	10	10
225	8	2000	10	10	10	10
226	1	2000	10	20	10	10
227	8	2000	10	20	10	10
228	1	2000	10	40	10	10
229	8	2000	10	40	10	10
230	1	2000	10	80	10	10
231	8	2000	10	80	10	10
232	1	2000	100	10	10	100
233	8	2000	100	10	10	100
234	1	2000	100	20	10	100
235	8	2000	100	20	10	100
236	1	2000	100	40	10	100
237	8	2000	100	40	10	100
238	1	2000	100	80	10	100
239	8	2000	100	80	10	100
240	1	2000	200	10	10	200
241	8	2000	200	10	10	200
242	1	2000	200	20	10	200
243	8	2000	200	20	10	200
244	1	2000	200	40	10	200
245	8	2000	200	40	10	200
246	1	2000	200	80	10	200
247	8	2000	200	80	10	200
248	1	2000	400	10	10	400
