param_set	bustakers_fraction	cap_vehicles	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed
0	1.0	8	1.0	10	1	1.0	1
1	0.8	8	1.4	10	1	0.8	1
2	0.6	8	1.8	10	1	0.6	1
3	0.4	8	2.2	10	1	0.4	1
4	0.2	8	2.6	10	1	0.2	1
5	1.0	8	1.0	10	2	1.0	2
6	0.8	8	1.4	10	2	0.8	2
7	0.6	8	1.8	10	2	0.6	2
8	0.4	8	2.2	10	2	0.4	2
9	0.2	8	2.6	10	2	0.2	2
10	1.0	8	1.0	10	3	1.0	3
11	0.8	8	1.4	10	3	0.8	3
12	0.6	8	1.8	10	3	0.6	3
13	0.4	8	2.2	10	3	0.4	3
14	0.2	8	2.6	10	3	0.2	3
15	1.0	8	1.0	10	4	1.0	4
16	0.8	8	1.4	10	4	0.8	4
17	0.6	8	1.8	10	4	0.6	4
18	0.4	8	2.2	10	4	0.4	4
19	0.2	8	2.6	10	4	0.2	4
20	1.0	8	1.0	10	5	1.0	5
21	0.8	8	1.4	10	5	0.8	5
22	0.6	8	1.8	10	5	0.6	5
23	0.4	8	2.2	10	5	0.4	5
24	0.2	8	2.6	10	5	0.2	5
