param_set	bustakers_fraction	cap_vehicles	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed	A	B	unserviced	mean_excess_time	critical_income	a_bar	b_bar
0	1.0	8	1.0	10	1	1.0	11	6	3	3	319.0	70420.0	0.408	0.592
1	0.8	8	1.4	10	1	0.8	11	6	3	5	354.3	63400.0	0.467	0.533
2	0.6	8	1.8	10	1	0.6	11	6	3	5	296.1	75870.0	0.368	0.632
3	0.4	8	2.2	10	1	0.4	11	6	3	5	259.8	86450.0	0.3	0.7
4	0.2	8	2.6	10	1	0.2	11	6	3	1	227.9	98560.0	0.238	0.762
5	1.0	8	1.0	10	2	1.0	12	6	3	2	377.7	59470.0	0.504	0.496
6	0.8	8	1.4	10	2	0.8	12	6	3	8	374.2	60040.0	0.498	0.502
7	0.6	8	1.8	10	2	0.6	12	6	3	8	295.6	76000.0	0.367	0.633
8	0.4	8	2.2	10	2	0.4	12	6	3	4	261.2	86010.0	0.302	0.698
9	0.2	8	2.6	10	2	0.2	12	6	3	1	54.3	413600.0	0.003	0.997
10	1.0	8	1.0	10	3	1.0	13	6	3	2	349.8	64220.0	0.46	0.54
11	0.8	8	1.4	10	3	0.8	13	6	3	4	314.5	71430.0	0.4	0.6
12	0.6	8	1.8	10	3	0.6	13	6	3	5	295.0	76140.0	0.366	0.634
13	0.4	8	2.2	10	3	0.4	13	6	3	2	332.1	67650.0	0.431	0.569
14	0.2	8	2.6	10	3	0.2	13	6	3	0	222.2	101100.0	0.227	0.773
15	1.0	8	1.0	10	4	1.0	14	6	3	3	357.5	62840.0	0.472	0.528
16	0.8	8	1.4	10	4	0.8	14	6	3	0	31.4	715900.0	0.0	1.0
17	0.6	8	1.8	10	4	0.6	14	6	3	6	284.0	79110.0	0.345	0.655
18	0.4	8	2.2	10	4	0.4	14	6	3	3	292.8	76730.0	0.362	0.638
19	0.2	8	2.6	10	4	0.2	14	6	3	1	259.0	86720.0	0.298	0.702
20	1.0	8	1.0	10	5	1.0	15	6	3	2	365.2	61510.0	0.485	0.515
21	0.8	8	1.4	10	5	0.8	15	6	3	6	344.0	65300.0	0.451	0.549
22	0.6	8	1.8	10	5	0.6	15	6	3	4	355.7	63150.0	0.47	0.53
23	0.4	8	2.2	10	5	0.4	15	6	3	3	279.6	80330.0	0.337	0.663
24	0.2	8	2.6	10	5	0.2	15	6	3	2	248.3	90470.0	0.278	0.722
0	1.0	8	1.0	10	1	1.0	11	6	0	3	319.0	140800.0	0.111	0.889
1	0.8	8	1.4	10	1	0.8	11	6	0	5	354.3	126800.0	0.142	0.858
2	0.6	8	1.8	10	1	0.6	11	6	0	5	296.1	151700.0	0.092	0.908
3	0.4	8	2.2	10	1	0.4	11	6	0	5	259.8	172900.0	0.065	0.935
4	0.2	8	2.6	10	1	0.2	11	6	0	1	227.9	197100.0	0.044	0.956
5	1.0	8	1.0	10	2	1.0	12	6	0	2	377.7	118900.0	0.163	0.837
6	0.8	8	1.4	10	2	0.8	12	6	0	8	374.2	120100.0	0.16	0.84
7	0.6	8	1.8	10	2	0.6	12	6	0	8	295.6	152000.0	0.092	0.908
8	0.4	8	2.2	10	2	0.4	12	6	0	4	261.2	172000.0	0.066	0.934
9	0.2	8	2.6	10	2	0.2	12	6	0	1	54.3	827200.0	0.0	1.0
10	1.0	8	1.0	10	3	1.0	13	6	0	2	349.8	128400.0	0.138	0.862
11	0.8	8	1.4	10	3	0.8	13	6	0	4	314.5	142900.0	0.107	0.893
12	0.6	8	1.8	10	3	0.6	13	6	0	5	295.0	152300.0	0.091	0.909
13	0.4	8	2.2	10	3	0.4	13	6	0	2	332.1	135300.0	0.122	0.878
14	0.2	8	2.6	10	3	0.2	13	6	0	0	222.2	202200.0	0.041	0.959
15	1.0	8	1.0	10	4	1.0	14	6	0	3	357.5	125700.0	0.145	0.855
16	0.8	8	1.4	10	4	0.8	14	6	0	0	31.4	1432000.0	0.0	1.0
17	0.6	8	1.8	10	4	0.6	14	6	0	6	284.0	158200.0	0.083	0.917
18	0.4	8	2.2	10	4	0.4	14	6	0	3	292.8	153500.0	0.089	0.911
19	0.2	8	2.6	10	4	0.2	14	6	0	1	259.0	173400.0	0.064	0.936
20	1.0	8	1.0	10	5	1.0	15	6	0	2	365.2	123000.0	0.152	0.848
21	0.8	8	1.4	10	5	0.8	15	6	0	6	344.0	130600.0	0.133	0.867
22	0.6	8	1.8	10	5	0.6	15	6	0	4	355.7	126300.0	0.143	0.857
23	0.4	8	2.2	10	5	0.4	15	6	0	3	279.6	160700.0	0.079	0.921
24	0.2	8	2.6	10	5	0.2	15	6	0	2	248.3	180900.0	0.057	0.943
