param_set	bustakers_fraction	cap_vehicles	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed
0	1.0	8	1.0	10	1	1.0	11
1	0.8	8	1.4	10	1	0.8	11
2	0.6	8	1.8	10	1	0.6	11
3	0.4	8	2.2	10	1	0.4	11
4	0.2	8	2.6	10	1	0.2	11
5	1.0	8	1.0	10	2	1.0	12
6	0.8	8	1.4	10	2	0.8	12
7	0.6	8	1.8	10	2	0.6	12
8	0.4	8	2.2	10	2	0.4	12
9	0.2	8	2.6	10	2	0.2	12
10	1.0	8	1.0	10	3	1.0	13
11	0.8	8	1.4	10	3	0.8	13
12	0.6	8	1.8	10	3	0.6	13
13	0.4	8	2.2	10	3	0.4	13
14	0.2	8	2.6	10	3	0.2	13
15	1.0	8	1.0	10	4	1.0	14
16	0.8	8	1.4	10	4	0.8	14
17	0.6	8	1.8	10	4	0.6	14
18	0.4	8	2.2	10	4	0.4	14
19	0.2	8	2.6	10	4	0.2	14
20	1.0	8	1.0	10	5	1.0	15
21	0.8	8	1.4	10	5	0.8	15
22	0.6	8	1.8	10	5	0.6	15
23	0.4	8	2.2	10	5	0.4	15
24	0.2	8	2.6	10	5	0.2	15
