	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:23.000000	2016-05-01 17:44:57.206654	0
1	6211484424	141	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:40:24.144424	0
2	4794775937	136	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:48:16.038170	0
3	4544486780	132	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:49:55.594000	0
4	3942050712	121	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:44:06.570121	0
5	2351532382	113	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:45:36.471795	0
6	42439994	104	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:45:50.760367	0
7	29453	88	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:43:32.439220	0
8	27146	82	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:45:49.465255	0
9	21908	59	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:45:01.022888	0
10	18389	54	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:46:12.419719	0
11	11117	49	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:43:03.862469	0
12	9499	47	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:43:01.419300	0
13	3530	4	0		0	2016-05-01 17:50:23.000000	2016-05-01 17:55:46.481984	0
14	29453	201	0		0	2016-05-01 17:58:49.000000	2016-05-01 18:00:26.981829	0
15	30026	188	1		0	2016-05-01 18:05:22.000000	2016-05-01 17:54:15.433416	0
16	4445	173	2		0	2016-05-01 18:05:22.000000	2016-05-01 18:02:42.263013	0
17	3955372899	152	3		0	2016-05-01 18:05:22.000000	2016-05-01 17:57:47.812576	0
18	4782404427	151	4		0	2016-05-01 18:05:50.000000	2016-05-01 17:52:14.812843	0
19	9485	150	5		0	2016-05-01 18:05:50.000000	2016-05-01 18:00:32.196910	0
20	25283	225	6		0	2016-05-01 18:05:50.000000	2016-05-01 18:00:58.047769	0
21	22819	61	7		0	2016-05-01 18:05:50.000000	2016-05-01 17:58:28.226396	0
22	6755	26	7		0	2016-05-01 18:05:50.000000	2016-05-01 18:03:45.335074	0
23	27213	281	7		0	2016-05-01 18:05:50.000000	2016-05-01 18:01:08.268414	0
24	23196	268	6		0	2016-05-01 18:05:50.000000	2016-05-01 17:57:21.575495	0
25	21908	253	5		0	2016-05-01 18:05:50.000000	2016-05-01 18:00:44.434692	0
26	2351532382	232	4		0	2016-05-01 18:05:50.000000	2016-05-01 18:00:55.306054	0
27	11128	50	3		0	2016-05-01 18:05:50.000000	2016-05-01 18:05:49.000000	0
28	11128	162	3		0	2016-05-01 18:05:50.000000	2016-05-01 18:04:52.083609	0
29	6598535230	147	4		0	2016-05-01 18:05:50.000000	2016-05-01 18:05:36.297558	0
30	42430350	100	4		0	2016-05-01 18:05:50.000000	2016-05-01 18:05:36.403352	0
31	27166	242	4		0	2016-05-01 18:05:50.000000	2016-05-01 18:05:55.944817	0
32	4544486780	157	3		0	2016-05-01 18:06:02.000000	2016-05-01 18:05:51.140201	0
33	42436700	102	4		0	2016-05-01 18:06:02.000000	2016-05-01 18:05:37.207314	0
34	26991	220	4		0	2016-05-01 18:06:02.000000	2016-05-01 18:02:33.775184	0
35	6722	223	5		0	2016-05-01 18:06:02.000000	2016-05-01 18:06:00.672647	0
36	6772	184	6		0	2016-05-01 18:07:04.000000	2016-05-01 18:06:01.188313	0
37	4207815979	179	7		0	2016-05-01 18:07:04.000000	2016-05-01 18:07:03.000000	0
38	4207815979	130	8		0	2016-05-01 18:07:04.000000	2016-05-01 18:06:22.692240	0
39	23121	237	8		0	2016-05-01 18:07:04.000000	2016-05-01 18:02:22.123423	0
40	4851	264	7		0	2016-05-01 18:07:04.000000	2016-05-01 18:05:04.228998	0
41	23196	66	6		0	2016-05-01 18:07:04.000000	2016-05-01 18:05:55.503238	0
42	6210777836	303	6		0	2016-05-01 18:07:04.000000	2016-05-01 18:06:32.124903	0
43	34311	90	5		0	2016-05-01 18:07:04.000000	2016-05-01 18:07:03.000000	0
44	34311	300	5		0	2016-05-01 18:07:04.000000	2016-05-01 18:05:34.036538	0
45	5481886057	139	4		0	2016-05-01 18:07:04.000000	2016-05-01 18:07:03.000000	0
46	5481886057	259	4		0	2016-05-01 18:07:04.000000	2016-05-01 18:00:24.754170	0
47	3705	7	3		0	2016-05-01 18:07:04.000000	2016-05-01 17:57:46.513671	0
48	40587	231	3		0	2016-05-01 18:07:04.000000	2016-05-01 18:00:41.576513	0
49	3977886225	230	2		0	2016-05-01 18:07:04.000000	2016-05-01 18:02:17.754334	0
50	3530	305	1		0	2016-05-01 18:07:04.000000	2016-05-01 18:01:09.269607	0
51	4782404427	135	0		0	2016-05-01 18:07:04.000000	2016-05-01 17:59:22.252090	0
52	30026	89	0		0	2016-05-01 18:07:04.000000	2016-05-01 17:55:41.062051	0
53	42428297	319	0		682	2016-05-01 18:07:04.000000		0
0	42428297	310	0	0.0	0	2016-05-01 17:50:23.000000	2016-05-01 17:50:00.478368	1
1	4909	16	0		22	2016-05-01 17:50:23.000000	2016-05-01 17:50:07.121060	1
2	6210777836	140	0		22	2016-05-01 17:50:23.000000	2016-05-01 17:58:46.906192	1
3	4936	210	0		22	2016-05-01 17:59:51.000000	2016-05-01 18:02:56.995021	1
4	6776	166	1		22	2016-05-01 18:07:29.000000	2016-05-01 18:05:44.147193	1
5	42439996	168	2		22	2016-05-01 18:07:29.000000	2016-05-01 18:08:51.062279	1
6	3977886868	215	3		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:45.445327	1
7	3977886858	127	4		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:48.458287	1
8	27162	83	4		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:50.947659	1
9	27121	80	4		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:54.000000	1
10	27121	177	4		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:51.589332	1
11	27123	199	5		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:40.023191	1
12	27240	86	6		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:51.444908	1
13	27213	85	6		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:50.191927	1
14	42432580	189	6		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:53.154279	1
15	3955372899	124	7		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:54.252822	1
16	27051	78	7		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:38.396218	1
17	27031	77	7		22	2016-05-01 18:11:55.000000	2016-05-01 18:11:54.000000	1
18	27031	257	7		22	2016-05-01 18:11:55.000000	2016-05-01 18:13:12.712409	1
19	100521728	197	6		22	2016-05-01 18:14:31.000000	2016-05-01 18:12:48.444697	1
20	12112	206	7		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:35.000000	1
21	12112	53	8		22	2016-05-01 18:14:36.000000	2016-05-01 18:12:03.361613	1
22	11328	52	8		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:35.000000	1
23	11328	286	8		22	2016-05-01 18:14:36.000000	2016-05-01 18:12:54.544416	1
24	3997454663	269	7		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:35.000000	1
25	3997454663	129	6		22	2016-05-01 18:14:36.000000	2016-05-01 18:13:24.140139	1
26	37532	290	6		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:34.542745	1
27	37533	96	5		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:31.231295	1
28	4631139783	246	5		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:34.000000	1
29	4631139783	248	4		22	2016-05-01 18:14:36.000000	2016-05-01 18:12:27.179327	1
30	6702	21	3		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:35.000000	1
31	6702	279	3		22	2016-05-01 18:14:36.000000	2016-05-01 18:10:40.063408	1
32	9416	45	2		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:34.443865	1
33	42439952	277	2		22	2016-05-01 18:14:36.000000	2016-05-01 18:14:33.074163	1
34	8038	295	1		22	2016-05-01 18:14:36.000000	2016-05-01 18:10:32.241923	1
35	25461	70	0		22	2016-05-01 18:14:36.000000	2016-05-01 18:13:59.600694	1
36	42428297	320	0		58	2016-05-01 18:14:36.000000		1
0	42428297	311	0	600.0	0	2016-05-01 17:54:53.000000	2016-05-01 18:02:52.240731	2
1	6820	186	0		120	2016-05-01 18:04:53.000000	2016-05-01 17:59:27.330478	2
2	1954	170	1		120	2016-05-01 18:05:00.000000	2016-05-01 18:05:35.402601	2
3	4886228959	172	2		120	2016-05-01 18:05:39.000000	2016-05-01 18:06:05.299909	2
4	4770624001	217	3		120	2016-05-01 18:09:48.000000	2016-05-01 18:09:42.013928	2
