param_set	bustakers_fraction	cap_vehicles	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed	num_trips	A	B	unserviced	mean_excess_time	critical_income	a_bar	b_bar
0	1.0	8	1.0	10	1	1.0	11	100	6	3	3	319.0	70420.0	0.408	0.592
1	0.8	8	1.4	10	1	0.8	11	80	6	3	5	354.3	63400.0	0.467	0.533
2	0.6	8	1.8	10	1	0.6	11	60	6	3	5	296.1	75870.0	0.368	0.632
3	0.4	8	2.2	10	1	0.4	11	40	6	3	5	259.8	86450.0	0.3	0.7
4	0.2	8	2.6	10	1	0.2	11	20	6	3	1	227.9	98560.0	0.238	0.762
5	1.0	8	1.0	10	2	1.0	12	100	6	3	2	377.7	59470.0	0.504	0.496
6	0.8	8	1.4	10	2	0.8	12	80	6	3	8	374.2	60040.0	0.498	0.502
7	0.6	8	1.8	10	2	0.6	12	60	6	3	8	295.6	76000.0	0.367	0.633
8	0.4	8	2.2	10	2	0.4	12	40	6	3	4	261.2	86010.0	0.302	0.698
9	0.2	8	2.6	10	2	0.2	12	20	6	3	1	54.3	413600.0	0.003	0.997
10	1.0	8	1.0	10	3	1.0	13	100	6	3	2	349.8	64220.0	0.46	0.54
11	0.8	8	1.4	10	3	0.8	13	80	6	3	4	314.5	71430.0	0.4	0.6
12	0.6	8	1.8	10	3	0.6	13	60	6	3	5	295.0	76140.0	0.366	0.634
13	0.4	8	2.2	10	3	0.4	13	40	6	3	2	332.1	67650.0	0.431	0.569
14	0.2	8	2.6	10	3	0.2	13	20	6	3	0	222.2	101100.0	0.227	0.773
15	1.0	8	1.0	10	4	1.0	14	100	6	3	3	357.5	62840.0	0.472	0.528
16	0.8	8	1.4	10	4	0.8	14	80	6	3	0	31.4	715900.0	0.0	1.0
17	0.6	8	1.8	10	4	0.6	14	60	6	3	6	284.0	79110.0	0.345	0.655
18	0.4	8	2.2	10	4	0.4	14	40	6	3	3	292.8	76730.0	0.362	0.638
19	0.2	8	2.6	10	4	0.2	14	20	6	3	1	259.0	86720.0	0.298	0.702
20	1.0	8	1.0	10	5	1.0	15	100	6	3	2	365.2	61510.0	0.485	0.515
21	0.8	8	1.4	10	5	0.8	15	80	6	3	6	344.0	65300.0	0.451	0.549
22	0.6	8	1.8	10	5	0.6	15	60	6	3	4	355.7	63150.0	0.47	0.53
23	0.4	8	2.2	10	5	0.4	15	40	6	3	3	279.6	80330.0	0.337	0.663
24	0.2	8	2.6	10	5	0.2	15	20	6	3	2	248.3	90470.0	0.278	0.722
25	1.0	8	1.0	10	6	1.0	16	100	6	3	6	359.8	62440.0	0.476	0.524
26	0.8	8	1.4	10	6	0.8	16	80	6	3	5	356.9	62940.0	0.472	0.528
27	0.6	8	1.8	10	6	0.6	16	60	6	3	7	348.3	64500.0	0.458	0.542
28	0.4	8	2.2	10	6	0.4	16	40	6	3	4	236.4	95030.0	0.255	0.745
29	0.2	8	2.6	10	6	0.2	16	20	6	3	1	162.8	138000.0	0.116	0.884
30	1.0	8	1.0	10	7	1.0	17	100	6	3	3	389.5	57670.0	0.521	0.479
31	0.8	8	1.4	10	7	0.8	17	80	6	3	5	361.9	62070.0	0.48	0.52
32	0.6	8	1.8	10	7	0.6	17	60	6	3	6	312.5	71890.0	0.397	0.603
