param_set	bustakers_fraction	cap_vehicles	graph_h	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed	num_trips	A	B	unserviced	mean_excess_time	critical_income	a_bar	b_bar
0	1.0	8	6	1	10	1	1.0	21	100	6	3	6	359.9	62420.0	0.476	0.524
1	1.0	8	6	3	10	1	1.0	21	100	6	3	52	297.4	75530.0	0.37	0.63
2	0.8	8	6	1	10	1	0.8	21	80	6	3	2	315.3	71250.0	0.402	0.598
3	0.8	8	6	3	10	1	0.8	21	80	6	3	38	244.2	92000.0	0.27	0.73
4	0.6	8	6	1	10	1	0.6	21	60	6	3	0	382.5	58730.0	0.511	0.489
5	0.6	8	6	3	10	1	0.6	21	60	6	3	24	200.8	111900.0	0.186	0.814
6	0.4	8	6	1	10	1	0.4	21	40	6	3	0	359.7	62450.0	0.476	0.524
7	0.4	8	6	3	10	1	0.4	21	40	6	3	10	287.1	78240.0	0.351	0.649
8	0.2	8	6	1	10	1	0.2	21	20	6	3	0	499.7	44950.0	0.659	0.341
9	0.2	8	6	3	10	1	0.2	21	20	6	3	2	135.5	165800.0	0.073	0.927
10	1.0	8	6	1	10	2	1.0	22	100	6	3	6	359.2	62540.0	0.475	0.525
11	1.0	8	6	3	10	2	1.0	22	100	6	3	68	221.2	101600.0	0.225	0.775
12	0.8	8	6	1	10	2	0.8	22	80	6	3	0	331.2	67830.0	0.429	0.571
13	0.8	8	6	3	10	2	0.8	22	80	6	3	38	285.8	78590.0	0.349	0.651
14	0.6	8	6	1	10	2	0.6	22	60	6	3	0	376.0	59750.0	0.501	0.499
15	0.6	8	6	3	10	2	0.6	22	60	6	3	26	219.7	102200.0	0.222	0.778
16	0.4	8	6	1	10	2	0.4	22	40	6	3	0	360.3	62350.0	0.477	0.523
17	0.4	8	6	3	10	2	0.4	22	40	6	3	10	240.3	93470.0	0.262	0.738
18	0.2	8	6	1	10	2	0.2	22	20	6	3	0	372.6	60280.0	0.496	0.504
