	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.911468	0
1	6786	11	0		84	2016-05-01 17:52:16.000000	2016-05-01 17:59:56.000000	0
2	6786	49	0		85	2016-05-01 17:59:57.000000	2016-05-01 17:59:56.549576	0
3	561042204	41	1		314	2016-05-01 18:03:46.000000	2016-05-01 18:03:46.000000	0
4	561042204	29	2		315	2016-05-01 18:03:47.000000	2016-05-01 18:03:46.131711	0
5	4886228959	48	2		536	2016-05-01 18:07:28.000000	2016-05-01 18:07:28.000000	0
6	4886228959	36	3		537	2016-05-01 18:07:29.000000	2016-05-01 18:07:28.042977	0
7	26559	47	3		562	2016-05-01 18:07:54.000000	2016-05-01 18:07:53.667651	0
8	26560	54	4		564	2016-05-01 18:07:56.000000	2016-05-01 18:07:55.289939	0
9	21907	17	5		593	2016-05-01 18:08:25.000000	2016-05-01 18:08:24.290210	0
10	6724	7	5		622	2016-05-01 18:08:54.000000	2016-05-01 18:08:53.142142	0
11	4938	61	5		641	2016-05-01 18:09:13.000000	2016-05-01 18:09:12.559795	0
12	42428312	67	4		755	2016-05-01 18:11:07.000000	2016-05-01 18:11:06.751340	0
13	8757	14	3		869	2016-05-01 18:13:01.000000	2016-05-01 18:13:01.000000	0
14	8757	68	3		870	2016-05-01 18:13:02.000000	2016-05-01 18:13:01.566239	0
15	100522739	59	2		945	2016-05-01 18:14:17.000000	2016-05-01 18:14:16.745197	0
16	42443807	69	3		956	2016-05-01 18:14:28.000000	2016-05-01 18:14:27.429475	0
17	26963	74	2		1017	2016-05-01 18:15:29.000000	2016-05-01 18:15:28.121978	0
18	4794775937	56	1		1044	2016-05-01 18:15:56.000000	2016-05-01 18:15:55.579836	0
19	3463813444	32	2		1204	2016-05-01 18:18:36.000000	2016-05-01 18:18:36.000000	0
20	3463813444	76	2		1205	2016-05-01 18:18:37.000000	2016-05-01 18:18:36.267382	0
21	6753	79	1		1292	2016-05-01 18:20:04.000000	2016-05-01 18:20:03.822817	0
22	42428297	89	0		1313	2016-05-01 18:20:25.000000		0
0	42428297	80	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:52.000000	1
1	42428297	90	0		0	2016-05-01 17:50:52.000000		1
0	42428297	81	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:52.000000	2
1	42428297	91	0		0	2016-05-01 17:50:52.000000		2
0	42428297	82	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:52.000000	3
1	42428297	92	0		0	2016-05-01 17:50:52.000000		3
0	42428297	83	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:52.000000	4
1	42428297	93	0		0	2016-05-01 17:50:52.000000		4
0	42428297	84	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.573818	5
1	4905	4	0		5	2016-05-01 17:50:57.000000	2016-05-01 17:50:56.367984	5
2	9619	15	0		192	2016-05-01 17:54:04.000000	2016-05-01 17:59:07.000000	5
3	9619	43	0		193	2016-05-01 17:59:08.000000	2016-05-01 17:59:07.548206	5
4	2348991701	30	1		326	2016-05-01 18:01:21.000000	2016-05-01 18:01:21.000000	5
5	2348991701	63	1		327	2016-05-01 18:01:22.000000	2016-05-01 18:04:44.292730	5
6	6820	57	0		335	2016-05-01 18:04:53.000000	2016-05-01 18:04:52.088121	5
7	4461	3	1		346	2016-05-01 18:05:04.000000	2016-05-01 18:05:03.145776	5
8	4938	5	1		374	2016-05-01 18:05:32.000000	2016-05-01 18:05:31.866541	5
9	40587	24	1		388	2016-05-01 18:05:46.000000	2016-05-01 18:08:24.000000	5
10	40587	50	1		389	2016-05-01 18:08:25.000000	2016-05-01 18:08:24.843896	5
11	5235625496	37	2		572	2016-05-01 18:11:28.000000	2016-05-01 18:11:28.000000	5
12	5235625496	77	2		573	2016-05-01 18:11:29.000000	2016-05-01 18:11:28.878605	5
13	26559	19	1		890	2016-05-01 18:16:46.000000	2016-05-01 18:16:45.667651	5
14	26560	20	1		890	2016-05-01 18:16:46.000000	2016-05-01 18:16:45.989322	5
15	3460	1	1		892	2016-05-01 18:16:48.000000	2016-05-01 18:16:48.000000	5
16	3460	52	1		893	2016-05-01 18:16:49.000000	2016-05-01 18:16:48.300617	5
17	21907	70	2		921	2016-05-01 18:17:17.000000	2016-05-01 18:17:16.372214	5
18	37532	23	1		1139	2016-05-01 18:20:55.000000	2016-05-01 18:20:54.022422	5
19	4631139783	34	1		1139	2016-05-01 18:20:55.000000	2016-05-01 18:20:55.000000	5
20	4631139783	72	1		1140	2016-05-01 18:20:56.000000	2016-05-01 18:20:55.092787	5
21	42428297	94	0		1408	2016-05-01 18:25:24.000000		5
0	42428297	85	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:52.000000	6
1	42428297	95	0		0	2016-05-01 17:50:52.000000		6
0	42428297	86	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.748962	7
1	6598535230	38	0		51	2016-05-01 17:51:43.000000	2016-05-01 17:59:33.000000	7
2	6598535230	42	0		52	2016-05-01 17:59:34.000000	2016-05-01 17:59:33.371824	7
3	4905	44	1		394	2016-05-01 18:05:16.000000	2016-05-01 18:07:02.905144	7
4	6776	51	2		420	2016-05-01 18:07:29.000000	2016-05-01 18:07:28.361087	7
5	37532	62	3		626	2016-05-01 18:10:55.000000	2016-05-01 18:10:54.022422	7
6	4631139783	71	2		628	2016-05-01 18:10:57.000000	2016-05-01 18:10:56.640505	7
7	6804	12	1		975	2016-05-01 18:16:44.000000	2016-05-01 18:16:44.000000	7
8	6804	64	1		976	2016-05-01 18:16:45.000000	2016-05-01 18:16:44.425093	7
9	42439994	26	0		1016	2016-05-01 18:17:25.000000	2016-05-01 18:17:24.763415	7
10	42428297	96	0		1027	2016-05-01 18:17:36.000000		7
0	42428297	87	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:52.000000	8
1	42428297	97	0		0	2016-05-01 17:50:52.000000		8
0	42428297	88	0	0.0	0	2016-05-01 17:50:52.000000	2016-05-01 17:50:51.822175	9
1	27146	22	0		3	2016-05-01 17:50:55.000000	2016-05-01 17:58:20.591543	9
2	6724	53	0		34	2016-05-01 17:58:52.000000	2016-05-01 17:58:51.226554	9
3	6753	8	1		37	2016-05-01 17:58:55.000000	2016-05-01 17:58:54.346082	9
4	6776	10	1		43	2016-05-01 17:59:01.000000	2016-05-01 17:59:00.547758	9
5	6820	13	1		118	2016-05-01 18:00:16.000000	2016-05-01 18:00:15.079830	9
6	42428312	25	1		136	2016-05-01 18:00:34.000000	2016-05-01 18:00:33.049648	9
7	26963	21	1		208	2016-05-01 18:01:46.000000	2016-05-01 18:01:45.121978	9
8	4794775937	35	1		233	2016-05-01 18:02:11.000000	2016-05-01 18:09:16.328705	9
9	25285	45	1		337	2016-05-01 18:11:01.000000	2016-05-01 18:11:01.000000	9
10	25285	18	2		338	2016-05-01 18:11:02.000000	2016-05-01 18:11:01.693352	9
11	3607	2	2		578	2016-05-01 18:15:02.000000	2016-05-01 18:15:02.000000	9
12	3607	58	2		579	2016-05-01 18:15:03.000000	2016-05-01 18:15:02.185767	9
13	4461	40	3		630	2016-05-01 18:15:54.000000	2016-05-01 18:15:53.601711	9
14	42439994	46	4		652	2016-05-01 18:16:16.000000	2016-05-01 18:16:15.585590	9
15	27146	55	5		668	2016-05-01 18:16:32.000000	2016-05-01 18:16:31.153562	9
16	6760	9	6		701	2016-05-01 18:17:05.000000	2016-05-01 18:17:05.000000	9
17	6760	66	6		702	2016-05-01 18:17:06.000000	2016-05-01 18:17:05.370408	9
18	3308681109	73	5		795	2016-05-01 18:18:39.000000	2016-05-01 18:18:39.000000	9
19	3308681109	31	4		796	2016-05-01 18:18:40.000000	2016-05-01 18:18:39.545330	9
20	3942050712	33	4		1003	2016-05-01 18:22:07.000000	2016-05-01 18:22:07.000000	9
21	3942050712	60	4		1004	2016-05-01 18:22:08.000000	2016-05-01 18:22:07.685267	9
22	42443807	27	3		1040	2016-05-01 18:22:44.000000	2016-05-01 18:22:43.064564	9
23	5600	6	3		1054	2016-05-01 18:22:58.000000	2016-05-01 18:22:58.000000	9
24	5600	78	3		1055	2016-05-01 18:22:59.000000	2016-05-01 18:22:58.262671	9
25	19318	75	2		1148	2016-05-01 18:24:32.000000	2016-05-01 18:24:32.000000	9
26	19318	16	1		1149	2016-05-01 18:24:33.000000	2016-05-01 18:24:32.423750	9
27	7826843771	65	1		1164	2016-05-01 18:24:48.000000	2016-05-01 18:24:48.000000	9
28	7826843771	39	0		1165	2016-05-01 18:24:49.000000	2016-05-01 18:24:48.897209	9
29	100522739	28	0		1286	2016-05-01 18:26:50.000000	2016-05-01 18:26:49.286673	9
30	42428297	98	0		1350	2016-05-01 18:27:54.000000		9
