	i	j	load	slack	cost	est_time_arr	est_time_dep	iv
0	42428297	0	0	495.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:58:17.200648	0
1	42430350	188	0		59	2016-05-01 17:59:17.000000	2016-05-01 17:59:16.298952	0
2	42428312	116	1		115	2016-05-01 18:00:13.000000	2016-05-01 18:00:12.626823	0
3	4850	15	1		254	2016-05-01 18:02:32.000000	2016-05-01 18:02:31.601243	0
4	4851	16	1		254	2016-05-01 18:02:32.000000	2016-05-01 18:02:32.000000	0
5	4851	288	1		255	2016-05-01 18:02:33.000000	2016-05-01 18:02:32.411507	0
6	9619	186	0		258	2016-05-01 18:02:36.000000	2016-05-01 18:02:36.000000	0
7	9619	55	1		259	2016-05-01 18:02:37.000000	2016-05-01 18:02:36.603479	0
8	2348991701	132	1		313	2016-05-01 18:03:31.000000	2016-05-01 18:03:31.000000	0
9	2348991701	286	1		314	2016-05-01 18:03:32.000000	2016-05-01 18:04:23.138839	0
10	6820	212	0		343	2016-05-01 18:04:53.000000	2016-05-01 18:04:52.869302	0
11	4458	12	1		381	2016-05-01 18:05:31.000000	2016-05-01 18:05:30.037134	0
12	23428	78	1		403	2016-05-01 18:05:53.000000	2016-05-01 18:05:52.053733	0
13	5235625496	312	1		589	2016-05-01 18:08:59.000000	2016-05-01 18:08:58.664081	0
14	8052	232	0		637	2016-05-01 18:09:47.000000	2016-05-01 18:09:46.038595	0
15	4207957615	155	1		807	2016-05-01 18:12:37.000000	2016-05-01 18:12:36.520050	0
16	6789	332	1		812	2016-05-01 18:12:42.000000	2016-05-01 18:12:41.060711	0
17	4207815979	221	0		842	2016-05-01 18:13:12.000000	2016-05-01 18:13:11.194274	0
18	4461	13	1		913	2016-05-01 18:14:23.000000	2016-05-01 18:14:22.575224	0
19	5481886057	163	1		1078	2016-05-01 18:17:08.000000	2016-05-01 18:17:08.000000	0
20	5481886057	321	1		1079	2016-05-01 18:17:09.000000	2016-05-01 18:17:08.260402	0
21	27162	269	0		1247	2016-05-01 18:19:57.000000	2016-05-01 18:19:56.784566	0
22	6598535188	369	1		1445	2016-05-01 18:23:15.000000	2016-05-01 18:23:14.453219	0
23	42428297	388	0		1465	2016-05-01 18:23:35.000000		0
0	42428297	379	0	0.0	0	2016-05-01 17:50:03.000000	2016-05-01 17:50:02.618998	1
1	27146	98	0		29	2016-05-01 17:50:32.000000	2016-05-01 17:50:31.343266	1
